sr,isin,is_equity,nse_symbol,bse_code,bse_ticker,company_name,listed_on,segment,nse_series,bse_group,bse_status
4475,INE827D01020,Y,,518053,SRICC,Sri Chakra Cement Limited,BSE only,BSE Equity,,X,Active
4476,INE0RJ901010,Y,,544399,SRIGEE,SRIGEE DLM LIMITED,BSE only,BSE Equity,,M,Active
4477,INE009C01019,Y,,514442,SRIKPRIND,Sri KPR Industries Ltd,BSE only,BSE Equity,,X,Active
4478,INE443E01016,Y,,521234,SRINACHA,Sri Nachammai Cotton Mills Ltd.,BSE only,BSE Equity,,X,Active
4479,INE0NPI01014,Y,SRIVASAVI,,,Srivasavi Adhesive Tapes Limited,NSE only,NSE SME (Emerge),ST,,
4480,INE0R6Z01013,Y,SRM,544158,SRM,SRM Contractors Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4481,INE306D01017,Y,,521178,SRMCL,Sri Ramakrishna Mills (Coimbatore) Ltd.,BSE only,BSE Equity,,X,Active
4482,INE173J01018,Y,,523222,SRMENERGY,SRM Energy Limited,BSE only,BSE Equity,,X,Active
4483,INE0MNV01014,Y,,543615,SRSOLTD,SILICON RENTAL SOLUTIONS LIMITED,BSE only,BSE Equity,,M,Active
4484,INE19GK01015,Y,SRTL,544716,SRTL,Shree Ram Twistex Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4485,INE425C01017,Y,,540914,SRUSTEELS,SRU Steels Limited,BSE only,BSE Equity,,XT,Active
4486,INE0PQ101010,Y,SSDL,544230,SSDL,Saraswati Saree Depot Limited,NSE+BSE,NSE Mainboard,EQ,B,Active
4487,INE0RFP01011,Y,SSEGL,,,Sathlokhar Synergys E&C Global Limited,NSE only,NSE SME (Emerge),SM,,
4488,INE0ON201012,Y,SSFL,,,Srivari Spices And Foods Limited,NSE only,NSE SME (Emerge),ST,,
4489,IN9572J01019,Y,,890221,SSFLPP,Spandana Sphoorty Financial Limited,BSE only,BSE Equity,,B,Active
